"ID","MODEL","TARGET","P","AIC","Total_SE","ED10","ED10_SE","best"
1,"LL.3","Weight",0.250492721703208,230.473783427508,5.55379131304232,13.161507343894,1.04686956552021,1
2,"LL.3","Size",0.914191789832744,104.368987623607,3.85410405199759,13.9595233455932,1.23092796579495,1
3,"LL.3","Reactive oxygen species",0.200690074546804,261.378299491592,8.53103084693967,72.4133530759645,145.352586384344,1
5,"AR.2","Glutathione",0.295705399849346,348.193036056578,28.8561092621645,1.07575220455356,0.359705590760124,1
5,"LL.3","Calcium content",0.0124364830671691,267.837062870266,9.33168175204363,10.3302845887384,1.40393704018751,1
6,"LL.3","Mitochondrial membrane protentia",0.0622561916787477,236.943615587566,6.07595752449004,12.5885189094281,2.89826882907142,1
8,"AR.2","Net photosynthetic rate",0.569771074179035,232.231553801641,5.76465661169514,6.53693848271655,1.66893992160673,1
8,"LL.3","Photosystem II efficiency",0.33481197761119,214.673589366489,4.45948672027554,12.7977402793317,1.48359737270877,1
9,"LL.3","Photosystem II (PSII) electron transport activity",0.443206198328273,236.227450651444,6.0158211598217,15.5262997698871,2.20947085346119,1
10,"LL.3","Photochemical quenching",0.710298323322276,216.810410449448,4.59381918646976,25.9704501694178,3.45567665258633,1
11,"LL.3","Chlorophyll A concentration",0.0596238929708777,222.693824664084,4.98496225255842,108.331461208188,125.978895440706,1
12,"LL.3","Chlorophyll B concentration",0.734979048948078,216.076987245665,4.54726208134139,7.87847503040309,1.40583359688771,1
